학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,비고
Z3A7A8A9,영화의이해,,교선,3,3,이대범,월,7.8.9,,,
Z3E3E4,대중음악의역사,,교선,3,3,김철수,금,3,금,4,영어100
Z3A5C6,음악의이해,,교선,3,3,조선낭,월,5,수,6,
Z3A6C5,음악의이해,,교선,3,3,조선낭,월,6,수,5,
Z3B5D6,인간과예술,,교선,3,3,김서영,화,5,목,6,영어100
Z3B6D5,인간과예술,,교선,3,3,김서영,화,6,목,5,영어100
Z3A3C4,전통재즈의역사,,교선,3,3,노정진,월,3,수,4,영어100
Z3A4C3,전통재즈의역사,,교선,3,3,노정진,월,4,수,3,영어100
Z3C3C4,한국의문화유산,외국인만_수강가능,교선,3,3,신선혜,수,3,수,4,외국인전용
Z3C5C6,한국의문화유산,외국인만_수강가능,교선,3,3,신선혜,수,5,수,6,외국인전용
Z3D5D6,현대사회와스포츠,,교선,3,3,한지영,목,5,목,6,
Z3C7C8C9,현대사회와스포츠,,교선,3,3,구송광,수,7.8.9,,,
Z3,생활속의디자인,,교선,3,3,김문석,,,,,온라인100
Z3D1D2,운동과건강,,교선,3,3,이시은,목,1,목,2,
Z3B1D2,운동과건강,,교선,3,3,성기운,화,1,목,2,
Z3A2C1,영어회화,,교선,3,3,로라,월,2,수,1,소규모강의
Z3A3C4,영어회화,,교선,3,3,브라이언,월,3,수,4,소규모강의
Z3A3C4,영어회화,,교선,3,3,에이미,월,3,수,4,소규모강의
Z3A4C3,영어회화,,교선,3,3,브라이언,월,4,수,3,소규모강의
Z3A4C3,영어회화,,교선,3,3,토미,월,4,수,3,소규모강의
Z3A5C6,영어회화,,교선,3,3,마이클다우니,월,5,수,6,소규모강의
